rank_nb3,rank_nb2,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_aldehyde,n_carbonyl,n_fluorine,n_alpha_h,qed,category,elec_proxy,ani_energy,method_nb2,nb2_score,aff_HER2,status_HER2,aff_PDL1,status_PDL1,mean_affinity,final_score_nb3
1,5,87944034,O=CCCC#CCCC=O,IUTVZUMLXFEOHR-UHFFFAOYSA-N,oct-4-ynedial,138.16599999999997,0.948,34.14,2,2,0,2,0.3290273917173541,Dialdehyde (aliphatic),12.044015271982673,-461.11273193359375,ani2x_gasteiger,84.0534681678364,-4.148,ok,-4.281,ok,-4.214499999999999,35.77594363356728
2,13,12484446,CCOC(CC=O)CC=O,RMDVUYYLNKBTNC-UHFFFAOYSA-N,3-ethoxypentanedial,144.17,0.5695000000000001,43.370000000000005,2,2,0,2,0.5116979654233935,Dialdehyde (aliphatic),12.209060128734132,-499.4860534667969,ani2x_gasteiger,83.35532366549728,-3.863,ok,-3.606,ok,-3.7344999999999997,33.47631473309946
3,10,91427,CCC(C=O)CC=O,FYQMMABWOLQJEQ-UHFFFAOYSA-N,2-ethylbutanedial,114.14399999999998,0.8005,34.14,2,2,0,1,0.5064372206727978,Dialdehyde (aliphatic),12.159315893961333,-384.9876403808594,ani2x_gasteiger,83.56574321272373,-3.657,ok,-3.763,ok,-3.71,33.408148642544745
4,17,85655730,O=CCCC(=O)CCC=O,FXJPWEZCHRHMEX-UHFFFAOYSA-N,4-oxoheptanedial,142.154,0.5137,51.21,3,3,0,2,0.5076409277947531,Dialdehyde (aliphatic),12.437662163472451,-498.2905883789063,ani2x_gasteiger,82.38833046790596,-3.701,ok,-3.615,ok,-3.6580000000000004,32.93866609358119
5,6,22174207,O=CCCC(C=O)CC=O,BWBDIVJHFOSTOD-UHFFFAOYSA-N,"butane-1,2,4-tricarbaldehyde",142.15399999999997,0.3695999999999999,51.21,3,3,0,2,0.5032547254129797,Dialdehyde (aliphatic),12.090833424716564,-498.2797546386719,ani2x_gasteiger,83.85542603199413,-3.693,ok,-3.492,ok,-3.5925000000000002,32.93733520639883
6,3,80473,CC(CC=O)CC=O,LUNMJPAJHJAGIS-UHFFFAOYSA-N,3-methylpentanedial,114.144,0.8005,34.14,2,2,0,2,0.506437220672798,Dialdehyde (aliphatic),11.97695941943441,-384.986083984375,ani2x_gasteiger,84.33711635735091,-3.576,ok,-3.485,ok,-3.5305,32.75467327147018
7,7,101171,CC(C=O)CCC=O,IQKPRZPVTQHVOY-UHFFFAOYSA-N,2-methylpentanedial,114.14399999999998,0.8005,34.14,2,2,0,1,0.5064372206727978,Dialdehyde (aliphatic),12.090960225048272,-384.98779296875,ani2x_gasteiger,83.85488966293532,-3.383,ok,-3.489,ok,-3.436,32.23297793258706
8,18,10953466,CC(=O)CCCC=O,UCAQDIQSNVAWBD-UHFFFAOYSA-N,5-oxohexanal,114.144,0.9446,34.14,2,2,0,1,0.4024203395303487,Dialdehyde (aliphatic),12.442851820825863,-384.9964904785156,ani2x_gasteiger,82.36637806768204,-3.474,ok,-3.49,ok,-3.482,32.14227561353641
9,1,70620,O=CCCCCC=O,UMHJEEQLYBKSAN-UHFFFAOYSA-N,hexanedial,114.144,0.9446,34.14,2,2,0,2,0.3935377816640176,Dialdehyde (aliphatic),11.949040527901596,-384.9850769042969,ani2x_gasteiger,84.45521407344265,-3.373,ok,-3.401,ok,-3.387,32.13254281468853
10,14,21190979,CC(C)(C=O)CC=O,FAPGBNMXFSUCGA-UHFFFAOYSA-N,"2,2-dimethylbutanedial",114.14399999999998,0.8005,34.14,2,2,0,1,0.5084091858692685,Dialdehyde (aliphatic),12.29864499103367,-384.991455078125,ani2x_gasteiger,82.97637711521844,-3.418,ok,-3.448,ok,-3.433,32.043775423043684
